episode,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,rewards
1,0.06,8.03146524237e-08,-1.09974742041e-07,0.0094026993286,6.28291527303,6.2830879221,0.0,8.89515443692e-06,-1.90287867094e-05,0.313389973095,-0.0155058729687,-0.00508502263515,0.0,500.131975785,499.761576791,500.714605296,499.58556942,21.2412383368
1,0.12000000000000001,-0.00140804174184,0.0028791649649,0.0201804950632,0.815499126888,0.225152809373,0.0,-0.0833591334575,-0.127390107045,-0.144054030772,-6.60243737659,-1.23010739618,0.0,576.753294744,493.0909273,727.760560697,204.338768702,17.742400256
1,0.18,-0.0199732058195,0.00680991494331,0.0049237774856,0.420645282941,2.83711432073,0.0,-0.662303587056,0.078455100288,-0.564469317192,-6.77248218374,-5.30503353474,0.0,725.604972352,471.014342885,356.984566669,268.077890364,-3.97738370737
1,0.23999999999999996,-0.0667607164898,0.000367623338215,0.0,0.983005764299,2.81782693211,0.0,-0.899294607927,-0.344478349935,-1.7455994897,-4.42528374201,-4.02675245488,0.0,416.710749845,493.608826806,393.083488914,539.025961736,-56.0985172983
2,0.06,-1.4548382663e-07,-4.54353263369e-08,0.00944403757687,6.28313576655,0.000122290186575,0.0,-1.34107828372e-05,-4.75775255239e-06,0.314767639175,-0.00253055288437,0.00583145170282,0.0,500.127909977,500.552346556,500.612798571,500.428682699,21.2686750768
2,0.12000000000000001,-0.0101264135169,0.000486147143236,0.0285710363047,0.619816422037,2.92365850704,0.0,-0.513779556475,-0.0180540665967,0.0535075873254,-1.99244014774,-4.24283538879,0.0,724.926556695,461.269736298,434.796035503,208.285732556,15.7442337443
2,0.18,-0.0456901392654,-0.01214936014,0.0,0.499739218247,2.84275651945,0.0,-0.677819584732,-0.39191370435,-1.10552788312,-2.03097006154,-5.32648805372,0.0,521.843316744,415.470308922,413.074488553,404.889939127,-33.3350581305
3,0.06,-3.76740762795e-08,8.22328627673e-07,0.00941104375251,0.000509534945929,3.55391267188e-05,0.0,-3.6649084724e-06,6.66541601023e-05,0.313668061826,0.0215921136862,0.00175150303065,0.0,499.531627104,499.659297304,499.869482662,501.440117198,21.2475737051
3,0.12000000000000001,-0.000126953162401,2.44849215918e-05,0.0362873485577,0.00129100242113,0.0198584428176,0.0,-0.00726738020357,0.000868553988502,0.582086142302,-0.0157008007497,-0.407451551755,0.0,513.130806153,483.186906732,477.93765886,475.087255688,29.66927915
3,0.18,-0.00216485814484,0.000261138869906,0.0779495411166,0.0424875883424,0.243164159272,0.0,-0.0892968596606,0.0113892175462,0.80361386945,0.430651060988,-1.6884398796,0.0,544.166496649,449.471797384,433.404441787,469.448284854,35.6525342827
3,0.23999999999999996,-0.0165592255025,0.00401722294653,0.130797651361,0.630575904341,0.916642269584,0.0,-0.467202209865,0.163207514018,0.905721837765,2.20793795769,-3.90589419293,0.0,569.481065118,395.821586844,390.711939072,532.310808969,35.4501280962
3,0.3,-0.0673419551242,0.0133950432187,0.175319651953,2.50265318054,3.59284343848,0.0,-1.12114313757,-0.121157001638,0.537700733405,5.37713758629,-8.14377956519,0.0,665.771164322,324.372976914,374.37973538,618.243026515,9.95996332959
3,0.36000000000000004,-0.134071693545,-0.00540212014613,0.203541583196,3.99525943453,1.4219086998,0.0,-0.966575125981,-0.39295868408,0.119886677597,7.96228750905,-16.2602118031,0.0,863.925361489,176.928982836,424.704776776,638.317056393,-16.5013909366
3,0.4200000000000001,-0.213578323156,-0.0423718361762,0.19458338282,1.05454640069,3.43565777606,0.0,-1.67572632495,-0.802514760722,-0.476636639415,12.0350086711,-23.7019435322,0.0,954.046326509,100.205024604,577.094402412,846.708396113,-56.6706065784
3,0.48000000000000015,-0.277964018598,-0.123859559219,0.129700615975,6.04906609333,5.54619747685,0.0,-0.256411557381,-1.8331264755,-1.47063069101,17.0052390888,-28.2770203224,0.0,984.139188735,25.3521304381,631.920133895,974.517520615,-94.015170206
3,0.5400000000000001,-0.246823962202,-0.228294277785,0.0628515307603,1.98307071192,4.71400491396,0.0,1.40407731734,-1.35593156279,-1.05858201302,19.5937266881,-30.5589427302,0.0,998.320450368,3.17761170773,676.140828187,980.064815182,-43.1018784493
3,0.6000000000000002,-0.102972919151,-0.316275209934,0.0,3.55601716129,3.00566961971,0.0,3.12217303992,-1.61071088447,-0.678418694267,21.0534165475,-31.4686462408,0.0,999.029139721,2.11430555302,696.999534906,993.599398822,18.6364170398
4,0.06,-5.46909995259e-07,-1.11192662871e-07,0.00946004406702,6.28302452207,0.000368768787083,0.0,-4.5861475933e-05,-1.36327703826e-05,0.315301079825,-0.0086654379525,0.0162409396966,0.0,499.720629412,500.902808136,501.159223087,500.529147952,21.2789052193
4,0.12000000000000001,-0.0100971258366,0.000550182881903,0.0287994155631,0.629613387747,2.88030919945,0.0,-0.515070543676,-0.0141429716548,0.0651190802088,-2.01448863155,-4.20063311122,0.0,723.66659347,461.886243066,436.137243397,208.260081806,15.9661028258
4,0.18,-0.0466630473534,-0.0118475529904,0.0,0.508131102198,2.78704230417,0.0,-0.711168751524,-0.387618545963,-1.08169005009,-2.07570330117,-5.23962802593,0.0,520.063573233,417.775185221,412.93527703,402.556611886,-33.2900571023
5,0.06,9.61945219676e-08,-7.12547226233e-09,0.00939653363836,6.28317810799,6.28288830077,0.0,1.96878565304e-05,-7.16900795876e-07,0.313184491164,-0.000361070041778,-0.0173632396527,0.0,500.711974942,499.447514149,499.916270905,499.889968152,21.2373329556
5,0.12000000000000001,-0.00147856902163,0.00294846102533,0.0201797982353,0.794608258684,0.23737119677,0.0,-0.0877348775247,-0.125816668646,-0.147428171653,-6.57715429919,-1.27579296892,0.0,578.786909725,492.980581516,727.38636548,205.03751585,17.7145441966
5,0.18,-0.02046180834,0.0066945241831,0.00492230550284,0.400838866832,2.81583104797,0.0,-0.670187223779,0.0765462226215,-0.562497808575,-6.7344139948,-5.32766350853,0.0,725.052557859,471.753100465,354.652954469,267.437553722,-4.287239381
5,0.23999999999999996,-0.0681948924682,0.000485773299647,0.0,0.99106516064,2.79806275896,0.0,-0.922724552816,-0.337376917374,-1.74378149919,-4.35557540291,-4.04297937177,0.0,416.95059739,494.086925009,391.54492891,540.554729947,-56.4454800334
6,0.06,9.23387832673e-08,2.36019017121e-07,0.00944781537176,0.000185324629342,6.28306766041,0.0,1.05213905073e-05,2.11019425657e-05,0.314893540048,0.00864400721516,-0.00620335914251,0.0,500.498216876,500.046649854,500.34366983,500.972420373,21.2717020557
6,0.12000000000000001,-0.00526272652912,0.00619092291819,0.0217362791322,6.09343234884,0.932351713899,0.0,-0.313743110606,0.034958787572,-0.24450060177,-6.09782894441,2.30006239097,0.0,396.399880812,571.031278543,765.321397488,366.175159435,17.3768307529
6,0.18,-0.0489886994305,0.00606058127791,0.00188259006411,6.15337988619,1.79058742772,0.0,-1.18473516169,-0.0166754586527,-0.531584435761,-7.75775083236,0.159967959424,0.0,670.580458026,544.539091632,486.668981989,269.051991302,-22.9626695172
6,0.23999999999999996,-0.157478400117,0.00706317413819,0.0,6.07082942319,2.71631461015,0.0,-2.33843249895,0.0755547043344,-1.77516493451,-9.33465875838,2.44488547376,0.0,636.628524648,756.919051689,606.744933894,431.204570555,-82.6247952667
7,0.06,-3.69950569275e-07,-1.04747653402e-07,0.00938038405341,6.28304112185,0.000269668358181,0.0,-3.19978859294e-05,-1.24557706302e-05,0.31264627859,-0.00770430220373,0.012236230704,0.0,499.056531882,499.948641713,500.462102742,499.901172267,21.2259681147
7,0.12000000000000001,-0.0100337479652,0.000596033264885,0.0286622017748,0.626855947077,2.84355480588,0.0,-0.51436190638,-0.0104964896753,0.0706413887817,-2.00915561783,-4.17827349271,0.0,722.206070365,461.711165904,435.663362349,208.043538239,16.0544969798
7,0.18,-0.0472927944174,-0.0114076723129,0.0,0.505700650161,2.75094765276,0.0,-0.734817882854,-0.378116188104,-1.07058436262,-2.06337798226,-5.21517313814,0.0,520.264857469,418.453544633,411.957379943,402.225100026,-33.2596633175
8,0.06,1.07334178388e-07,-8.1709788331e-08,0.00942993499183,6.28308582574,6.28290875747,0.0,1.9237165186e-05,-9.07496292151e-06,0.314297646828,-0.00519967271544,-0.0159473762399,0.0,500.93404408,499.773332099,500.43566217,500.057138695,21.2595236665
8,0.12000000000000001,-0.0014736490248,0.00293492344504,0.0202861465965,0.799326604121,0.236312328461,0.0,-0.0874259773757,-0.126280769232,-0.145454137887,-6.58433775659,-1.2714578692,0.0,578.733374947,493.135962701,727.679148669,205.593013506,17.7502812732
8,0.18,-0.0206373038909,0.00671714740877,0.00504384068873,0.405730442867,2.87525112991,0.0,-0.674909039488,0.0712299924317,-0.572140546864,-6.53419628302,-5.36832107723,0.0,736.725920212,486.060376603,330.625496172,266.454699386,-4.45834826243
8,0.23999999999999996,-0.0672265399388,-0.000386198294525,0.0,1.10357927007,2.87217663378,0.0,-0.878316018953,-0.370736191308,-1.74033497858,-4.0404869729,-4.04605515788,0.0,430.284155483,507.824191697,363.873525967,531.32753369,-56.3805665723
